days;alive;dead;new;alive_theo;stadeC_theo;stadeE_theo;stadeF_theo;dead_theo
2018-07-11;1;0;1;1;1;0;0;0
2018-07-12;1;0;0;1;1;0;0;0
2018-07-13;1;0;0;1;1;0;0;0
2018-07-14;1;0;0;1;1;0;0;0
2018-07-15;1;0;0;1;1;0;0;0
2018-07-16;1;0;0;1;1;0;0;0
2018-07-17;1;0;0;1;1;0;0;0
2018-07-18;1;0;0;1;0;1;0;0
2018-07-19;1;0;0;1;0;1;0;0
2018-07-20;1;0;0;1;0;1;0;0
2018-07-21;1;0;0;1;0;1;0;0
2018-07-22;1;0;0;1;0;1;0;0
2018-07-23;1;0;0;1;0;1;0;0
2018-07-24;1;0;0;1;0;1;0;0
2018-07-25;1;0;0;1;0;1;0;0
2018-07-26;1;0;0;1;0;1;0;0
2018-07-27;1;0;0;1;0;0;1;0
2018-07-28;2;0;1;2;1;0;1;0
2018-07-29;3;0;1;3;2;0;1;0
2018-07-30;3;0;0;3;2;0;1;0
2018-07-31;3;0;0;3;2;0;1;0
2018-08-01;3;0;0;3;2;0;1;0
2018-08-02;3;0;0;3;2;0;1;0
2018-08-03;3;0;0;3;2;0;1;0
2018-08-04;3;0;0;3;1;1;1;0
2018-08-05;3;0;0;3;0;2;1;0
2018-08-06;3;0;0;3;0;2;1;0
2018-08-07;3;0;0;3;0;2;1;0
2018-08-08;3;0;0;3;0;2;1;0
2018-08-09;3;0;0;3;0;2;1;0
2018-08-10;3;0;0;3;0;2;1;0
2018-08-11;3;0;0;3;0;2;1;0
2018-08-12;3;0;0;3;0;2;1;0
2018-08-13;3;0;0;3;0;1;2;0
2018-08-14;3;0;0;3;0;0;3;0
2018-08-15;3;0;0;3;0;0;3;0
2018-08-16;3;0;0;3;0;0;3;0
2018-08-17;3;0;0;3;0;0;3;0
2018-08-18;3;0;0;3;0;0;3;0
2018-08-19;3;0;0;3;0;0;3;0
2018-08-20;3;0;0;3;0;0;3;0
2018-08-21;3;0;0;3;0;0;3;0
2018-08-22;3;0;0;3;0;0;3;0
2018-08-23;3;0;0;3;0;0;3;0
2018-08-24;3;0;0;3;0;0;3;0
2018-08-25;5;0;2;5;2;0;3;0
2018-08-26;5;0;0;5;2;0;3;0
2018-08-27;5;0;0;5;2;0;3;0
2018-08-28;5;0;0;5;2;0;3;0
2018-08-29;5;0;0;5;2;0;3;0
2018-08-30;5;0;0;4;2;0;2;1
2018-08-31;5;0;0;4;2;0;2;1
2018-09-01;5;0;0;4;0;2;2;1
2018-09-02;5;0;0;4;0;2;2;1
2018-09-03;5;0;0;4;0;2;2;1
2018-09-04;5;0;0;4;0;2;2;1
2018-09-05;5;0;0;4;0;2;2;1
2018-09-06;0;5;0;4;0;2;2;1
